x,z
0.606090463980002,0.2697955353345294
0.028740194790373375,-0.3075547338550958
0.7880459844395242,-0.26842402921044484
0.14833779165927008,-0.7840577775377617
0.6594607247545142,-0.49457222250990945
0.459654138738796,-0.8310885103423276
-0.11769613045094829,-1.4084387795318405
-0.4699652761897509,-1.842837223094398
0.07442347163614349,-1.389074447335882
-0.502926797553978,-1.9664247165254556
-0.04849657906533,-1.5555475533503083
-0.41181397537314957,-1.934991222362683
-0.6679972722349233,-0.9944924684322963
-0.396341282282826,-1.9314912231381103
-0.38380902574290193,-1.8465277694920272
-0.3844889662632364,-1.793917832137098
0.34933307540949116,-1.655038800938279
0.3203984415550947,-1.1891542955774346
0.07395950463027931,-1.322087894636805
-0.06358587282060171,-1.430177183059092
-0.042540421940487835,-1.4248223039762107
-0.5930340380862811,-1.725793573103776
-0.6213821010623124,-1.6566877281781465
-0.0724987953676629,-1.3115890838300808
0.02198734358337784,-0.8417402603167055
0.1882080014650228,-0.299321770130378
-0.22949244109450284,-0.5726808202986168
-0.8270978689097291,-0.7298909069070627
-0.042431027266438104,-0.48702715434936905
0.4871184945208298,-0.26317753704136454
0.12712638223919498,-0.8277114302233315
0.8695819221373102,-1.4883523626624693
0.6580027312684393,-1.9678106321994742
1.229037782663096,-1.7747682842358043
1.9849438658780763,-2.2355453521795243
2.5764915359183598,-1.63495935353216
2.7526354535468194,-1.5510470157625198
1.9334982444117235,-1.835425146753197
1.7709032059081005,-1.516345156983809
2.382002425691548,-1.3519052538143126
1.6475385267748344,-1.7668951613990136
2.2501485505510415,-2.5634368798438567
2.128184309848199,-3.223813830717981
2.546079764834872,-2.878364120396723
3.1090186829506763,-2.1769872750465957
2.6654982899081583,-2.5034952890478754
3.116462520399613,-3.383664575815897
3.708010190434907,-2.783078577166257
4.254539288623867,-2.9900371104902783
4.013353372015462,-3.3783291158426527
4.541799322100682,-2.771395138050165
5.326779669928776,-2.3797359025370124
4.573566734131258,-2.830143875163867
5.265522729518283,-2.38060618834114
4.727678802452921,-2.64569629203553
4.994579688985213,-2.112787323806911
5.772374172649495,-2.165139391392912
